ft,at,sl,med,lanes,terrain,capacity
MinArterial,Rural,25,NonRestrictive,2,mountain,1800
Collector,Rural,25,NonRestrictive,2,mountain,1700
Local,Rural,25,NonRestrictive,2,mountain,1600
Freeway,Urban,30,NonRestrictive,2,mountain,3060
MLHighway,Urban,30,NonRestrictive,2,mountain,2911
TLHighway,Urban,30,NonRestrictive,2,mountain,1182
PrArterial,Urban,30,NonRestrictive,2,mountain,2520
MinArterial,Urban,30,NonRestrictive,2,mountain,2160
Collector,Urban,30,NonRestrictive,2,mountain,1500
Local,Urban,30,NonRestrictive,2,mountain,1400
Freeway,Suburban,30,NonRestrictive,2,mountain,2859
MLHighway,Suburban,30,NonRestrictive,2,mountain,2672
TLHighway,Suburban,30,NonRestrictive,2,mountain,1182
PrArterial,Suburban,30,NonRestrictive,2,mountain,2160
MinArterial,Suburban,30,NonRestrictive,2,mountain,1800
Collector,Suburban,30,NonRestrictive,2,mountain,1700
Local,Suburban,30,NonRestrictive,2,mountain,1600
Freeway,Rural,30,NonRestrictive,2,mountain,2682
MLHighway,Rural,30,NonRestrictive,2,mountain,2667
TLHighway,Rural,30,NonRestrictive,2,mountain,1182
PrArterial,Rural,30,NonRestrictive,2,mountain,2160
MinArterial,Rural,30,NonRestrictive,2,mountain,1800
Collector,Rural,30,NonRestrictive,2,mountain,1700
Local,Rural,30,NonRestrictive,2,mountain,1600
Freeway,Urban,35,NonRestrictive,2,mountain,3060
MLHighway,Urban,35,NonRestrictive,2,mountain,2911
TLHighway,Urban,35,NonRestrictive,2,mountain,1182
PrArterial,Urban,35,NonRestrictive,2,mountain,2520
MinArterial,Urban,35,NonRestrictive,2,mountain,2160
Collector,Urban,35,NonRestrictive,2,mountain,1500
Local,Urban,35,NonRestrictive,2,mountain,1400
Freeway,Suburban,35,NonRestrictive,2,mountain,2859
MLHighway,Suburban,35,NonRestrictive,2,mountain,2672
TLHighway,Suburban,35,NonRestrictive,2,mountain,1182
PrArterial,Suburban,35,NonRestrictive,2,mountain,2160
MinArterial,Suburban,35,NonRestrictive,2,mountain,1800
Collector,Suburban,35,NonRestrictive,2,mountain,1700
Local,Suburban,35,NonRestrictive,2,mountain,1600
Freeway,Rural,35,NonRestrictive,2,mountain,2682
MLHighway,Rural,35,NonRestrictive,2,mountain,2667
TLHighway,Rural,35,NonRestrictive,2,mountain,1182
PrArterial,Rural,35,NonRestrictive,2,mountain,2160
MinArterial,Rural,35,NonRestrictive,2,mountain,1800
Collector,Rural,35,NonRestrictive,2,mountain,1700
Local,Rural,35,NonRestrictive,2,mountain,1600
Freeway,Urban,40,NonRestrictive,2,mountain,3060
MLHighway,Urban,40,NonRestrictive,2,mountain,2911
TLHighway,Urban,40,NonRestrictive,2,mountain,1182
PrArterial,Urban,40,NonRestrictive,2,mountain,2520
MinArterial,Urban,40,NonRestrictive,2,mountain,2160
Collector,Urban,40,NonRestrictive,2,mountain,1500
Local,Urban,40,NonRestrictive,2,mountain,1400
Freeway,Suburban,40,NonRestrictive,2,mountain,2859
MLHighway,Suburban,40,NonRestrictive,2,mountain,2672
TLHighway,Suburban,40,NonRestrictive,2,mountain,1182
PrArterial,Suburban,40,NonRestrictive,2,mountain,2160
MinArterial,Suburban,40,NonRestrictive,2,mountain,1800
Collector,Suburban,40,NonRestrictive,2,mountain,1700
Local,Suburban,40,NonRestrictive,2,mountain,1600
Freeway,Rural,40,NonRestrictive,2,mountain,2682
MLHighway,Rural,40,NonRestrictive,2,mountain,2667
TLHighway,Rural,40,NonRestrictive,2,mountain,1182
PrArterial,Rural,40,NonRestrictive,2,mountain,2160
MinArterial,Rural,40,NonRestrictive,2,mountain,1800
Collector,Rural,40,NonRestrictive,2,mountain,1700
Local,Rural,40,NonRestrictive,2,mountain,1600
Freeway,Urban,45,NonRestrictive,2,mountain,3060
MLHighway,Urban,45,NonRestrictive,2,mountain,2911
TLHighway,Urban,45,NonRestrictive,2,mountain,1182
PrArterial,Urban,45,NonRestrictive,2,mountain,2520
MinArterial,Urban,45,NonRestrictive,2,mountain,2160
Collector,Urban,45,NonRestrictive,2,mountain,1500
Local,Urban,45,NonRestrictive,2,mountain,1400
Freeway,Suburban,45,NonRestrictive,2,mountain,2859
MLHighway,Suburban,45,NonRestrictive,2,mountain,2672
TLHighway,Suburban,45,NonRestrictive,2,mountain,1182
PrArterial,Suburban,45,NonRestrictive,2,mountain,2160
MinArterial,Suburban,45,NonRestrictive,2,mountain,1800
Collector,Suburban,45,NonRestrictive,2,mountain,1700
Local,Suburban,45,NonRestrictive,2,mountain,1600
Freeway,Rural,45,NonRestrictive,2,mountain,2682
MLHighway,Rural,45,NonRestrictive,2,mountain,2667
TLHighway,Rural,45,NonRestrictive,2,mountain,1182
PrArterial,Rural,45,NonRestrictive,2,mountain,2160
MinArterial,Rural,45,NonRestrictive,2,mountain,1800
Collector,Rural,45,NonRestrictive,2,mountain,1700
Local,Rural,45,NonRestrictive,2,mountain,1600
Freeway,Urban,50,NonRestrictive,2,mountain,3060
MLHighway,Urban,50,NonRestrictive,2,mountain,2911
TLHighway,Urban,50,NonRestrictive,2,mountain,1182
PrArterial,Urban,50,NonRestrictive,2,mountain,2520
MinArterial,Urban,50,NonRestrictive,2,mountain,2160
Collector,Urban,50,NonRestrictive,2,mountain,1500
Local,Urban,50,NonRestrictive,2,mountain,1400
Freeway,Suburban,50,NonRestrictive,2,mountain,2859
MLHighway,Suburban,50,NonRestrictive,2,mountain,2812
TLHighway,Suburban,50,NonRestrictive,2,mountain,1182
PrArterial,Suburban,50,NonRestrictive,2,mountain,2160
MinArterial,Suburban,50,NonRestrictive,2,mountain,1800
Collector,Suburban,50,NonRestrictive,2,mountain,1700
Local,Suburban,50,NonRestrictive,2,mountain,1600
Freeway,Rural,50,NonRestrictive,2,mountain,2682
MLHighway,Rural,50,NonRestrictive,2,mountain,2800
TLHighway,Rural,50,NonRestrictive,2,mountain,1182
PrArterial,Rural,50,NonRestrictive,2,mountain,2160
MinArterial,Rural,50,NonRestrictive,2,mountain,1800
Collector,Rural,50,NonRestrictive,2,mountain,1700
Local,Rural,50,NonRestrictive,2,mountain,1600
Freeway,Urban,55,NonRestrictive,2,mountain,3060
MLHighway,Urban,55,NonRestrictive,2,mountain,3064
TLHighway,Urban,55,NonRestrictive,2,mountain,1182
PrArterial,Urban,55,NonRestrictive,2,mountain,2520
MinArterial,Urban,55,NonRestrictive,2,mountain,2160
Collector,Urban,55,NonRestrictive,2,mountain,1500
Local,Urban,55,NonRestrictive,2,mountain,1400
Freeway,Suburban,55,NonRestrictive,2,mountain,2859
MLHighway,Suburban,55,NonRestrictive,2,mountain,2953
TLHighway,Suburban,55,NonRestrictive,2,mountain,1182
PrArterial,Suburban,55,NonRestrictive,2,mountain,2160
MinArterial,Suburban,55,NonRestrictive,2,mountain,1800
Collector,Suburban,55,NonRestrictive,2,mountain,1700
Local,Suburban,55,NonRestrictive,2,mountain,1600
Freeway,Rural,55,NonRestrictive,2,mountain,2682
MLHighway,Rural,55,NonRestrictive,2,mountain,2933
TLHighway,Rural,55,NonRestrictive,2,mountain,1182
PrArterial,Rural,55,NonRestrictive,2,mountain,2160
MinArterial,Rural,55,NonRestrictive,2,mountain,1800
Collector,Rural,55,NonRestrictive,2,mountain,1700
Local,Rural,55,NonRestrictive,2,mountain,1600
Freeway,Urban,60,NonRestrictive,2,mountain,3060
MLHighway,Urban,60,NonRestrictive,2,mountain,3217
TLHighway,Urban,60,NonRestrictive,2,mountain,1182
PrArterial,Urban,60,NonRestrictive,2,mountain,2520
MinArterial,Urban,60,NonRestrictive,2,mountain,2160
Collector,Urban,60,NonRestrictive,2,mountain,1500
Local,Urban,60,NonRestrictive,2,mountain,1400
Freeway,Suburban,60,NonRestrictive,2,mountain,2859
MLHighway,Suburban,60,NonRestrictive,2,mountain,3094
TLHighway,Suburban,60,NonRestrictive,2,mountain,1182
PrArterial,Suburban,60,NonRestrictive,2,mountain,2160
MinArterial,Suburban,60,NonRestrictive,2,mountain,1800
Collector,Suburban,60,NonRestrictive,2,mountain,1700
Local,Suburban,60,NonRestrictive,2,mountain,1600
Freeway,Rural,60,NonRestrictive,2,mountain,2682
MLHighway,Rural,60,NonRestrictive,2,mountain,2933
TLHighway,Rural,60,NonRestrictive,2,mountain,1182
PrArterial,Rural,60,NonRestrictive,2,mountain,2160
MinArterial,Rural,60,NonRestrictive,2,mountain,1800
Collector,Rural,60,NonRestrictive,2,mountain,1700
Local,Rural,60,NonRestrictive,2,mountain,1600
Freeway,Urban,65,NonRestrictive,2,mountain,3060
MLHighway,Urban,65,NonRestrictive,2,mountain,3217
TLHighway,Urban,65,NonRestrictive,2,mountain,1182
PrArterial,Urban,65,NonRestrictive,2,mountain,2520
MinArterial,Urban,65,NonRestrictive,2,mountain,2160
Collector,Urban,65,NonRestrictive,2,mountain,1500
Local,Urban,65,NonRestrictive,2,mountain,1400
Freeway,Suburban,65,NonRestrictive,2,mountain,2859
MLHighway,Suburban,65,NonRestrictive,2,mountain,3094
TLHighway,Suburban,65,NonRestrictive,2,mountain,1182
PrArterial,Suburban,65,NonRestrictive,2,mountain,2160
MinArterial,Suburban,65,NonRestrictive,2,mountain,1800
Collector,Suburban,65,NonRestrictive,2,mountain,1700
Local,Suburban,65,NonRestrictive,2,mountain,1600
Freeway,Rural,65,NonRestrictive,2,mountain,2682
MLHighway,Rural,65,NonRestrictive,2,mountain,2933
TLHighway,Rural,65,NonRestrictive,2,mountain,1182
PrArterial,Rural,65,NonRestrictive,2,mountain,2160
MinArterial,Rural,65,NonRestrictive,2,mountain,1800
Collector,Rural,65,NonRestrictive,2,mountain,1700
Local,Rural,65,NonRestrictive,2,mountain,1600
Freeway,Urban,25,None,2,mountain,3060
MLHighway,Urban,25,None,2,mountain,2911
TLHighway,Urban,25,None,2,mountain,1182
PrArterial,Urban,25,None,2,mountain,2520
MinArterial,Urban,25,None,2,mountain,2160
Collector,Urban,25,None,2,mountain,1500
Local,Urban,25,None,2,mountain,1400
Freeway,Suburban,25,None,2,mountain,2859
MLHighway,Suburban,25,None,2,mountain,2672
TLHighway,Suburban,25,None,2,mountain,1182
PrArterial,Suburban,25,None,2,mountain,2160
MinArterial,Suburban,25,None,2,mountain,1800
Collector,Suburban,25,None,2,mountain,1700
Local,Suburban,25,None,2,mountain,1600
Freeway,Rural,25,None,2,mountain,2682
MLHighway,Rural,25,None,2,mountain,2667
TLHighway,Rural,25,None,2,mountain,1182
PrArterial,Rural,25,None,2,mountain,2160
MinArterial,Rural,25,None,2,mountain,1800
Collector,Rural,25,None,2,mountain,1700
Local,Rural,25,None,2,mountain,1600
Freeway,Urban,30,None,2,mountain,3060
MLHighway,Urban,30,None,2,mountain,2911
TLHighway,Urban,30,None,2,mountain,1182
PrArterial,Urban,30,None,2,mountain,2520
MinArterial,Urban,30,None,2,mountain,2160
Collector,Urban,30,None,2,mountain,1500
Local,Urban,30,None,2,mountain,1400
Freeway,Suburban,30,None,2,mountain,2859
MLHighway,Suburban,30,None,2,mountain,2672
TLHighway,Suburban,30,None,2,mountain,1182
PrArterial,Suburban,30,None,2,mountain,2160
MinArterial,Suburban,30,None,2,mountain,1800
Collector,Suburban,30,None,2,mountain,1700
Local,Suburban,30,None,2,mountain,1600
Freeway,Rural,30,None,2,mountain,2682
MLHighway,Rural,30,None,2,mountain,2667
TLHighway,Rural,30,None,2,mountain,1182
PrArterial,Rural,30,None,2,mountain,2160
MinArterial,Rural,30,None,2,mountain,1800
Collector,Rural,30,None,2,mountain,1700
Local,Rural,30,None,2,mountain,1600
Freeway,Urban,35,None,2,mountain,3060
MLHighway,Urban,35,None,2,mountain,2911
TLHighway,Urban,35,None,2,mountain,1182
PrArterial,Urban,35,None,2,mountain,2520
MinArterial,Urban,35,None,2,mountain,2160
Collector,Urban,35,None,2,mountain,1500
Local,Urban,35,None,2,mountain,1400
Freeway,Suburban,35,None,2,mountain,2859
MLHighway,Suburban,35,None,2,mountain,2672
TLHighway,Suburban,35,None,2,mountain,1182
PrArterial,Suburban,35,None,2,mountain,2160
MinArterial,Suburban,35,None,2,mountain,1800
Collector,Suburban,35,None,2,mountain,1700
Local,Suburban,35,None,2,mountain,1600
Freeway,Rural,35,None,2,mountain,2682
MLHighway,Rural,35,None,2,mountain,2667
TLHighway,Rural,35,None,2,mountain,1182
PrArterial,Rural,35,None,2,mountain,2160
MinArterial,Rural,35,None,2,mountain,1800
Collector,Rural,35,None,2,mountain,1700
Local,Rural,35,None,2,mountain,1600
Freeway,Urban,40,None,2,mountain,3060
MLHighway,Urban,40,None,2,mountain,2911
TLHighway,Urban,40,None,2,mountain,1182
PrArterial,Urban,40,None,2,mountain,2520
MinArterial,Urban,40,None,2,mountain,2160
Collector,Urban,40,None,2,mountain,1500
Local,Urban,40,None,2,mountain,1400
Freeway,Suburban,40,None,2,mountain,2859
MLHighway,Suburban,40,None,2,mountain,2672
TLHighway,Suburban,40,None,2,mountain,1182
PrArterial,Suburban,40,None,2,mountain,2160
MinArterial,Suburban,40,None,2,mountain,1800
Collector,Suburban,40,None,2,mountain,1700
Local,Suburban,40,None,2,mountain,1600
Freeway,Rural,40,None,2,mountain,2682
MLHighway,Rural,40,None,2,mountain,2667
TLHighway,Rural,40,None,2,mountain,1182
PrArterial,Rural,40,None,2,mountain,2160
MinArterial,Rural,40,None,2,mountain,1800
Collector,Rural,40,None,2,mountain,1700
Local,Rural,40,None,2,mountain,1600
Freeway,Urban,45,None,2,mountain,3060
MLHighway,Urban,45,None,2,mountain,2911
TLHighway,Urban,45,None,2,mountain,1182
PrArterial,Urban,45,None,2,mountain,2520
MinArterial,Urban,45,None,2,mountain,2160
Collector,Urban,45,None,2,mountain,1500
Local,Urban,45,None,2,mountain,1400
Freeway,Suburban,45,None,2,mountain,2859
MLHighway,Suburban,45,None,2,mountain,2672
TLHighway,Suburban,45,None,2,mountain,1182
PrArterial,Suburban,45,None,2,mountain,2160
MinArterial,Suburban,45,None,2,mountain,1800
Collector,Suburban,45,None,2,mountain,1700
Local,Suburban,45,None,2,mountain,1600
Freeway,Rural,45,None,2,mountain,2682
MLHighway,Rural,45,None,2,mountain,2667
TLHighway,Rural,45,None,2,mountain,1182
PrArterial,Rural,45,None,2,mountain,2160
MinArterial,Rural,45,None,2,mountain,1800
Collector,Rural,45,None,2,mountain,1700
Local,Rural,45,None,2,mountain,1600
Freeway,Urban,50,None,2,mountain,3060
MLHighway,Urban,50,None,2,mountain,2911
TLHighway,Urban,50,None,2,mountain,1182
PrArterial,Urban,50,None,2,mountain,2520
MinArterial,Urban,50,None,2,mountain,2160
Collector,Urban,50,None,2,mountain,1500
Local,Urban,50,None,2,mountain,1400
Freeway,Suburban,50,None,2,mountain,2859
MLHighway,Suburban,50,None,2,mountain,2812
TLHighway,Suburban,50,None,2,mountain,1182
PrArterial,Suburban,50,None,2,mountain,2160
MinArterial,Suburban,50,None,2,mountain,1800
Collector,Suburban,50,None,2,mountain,1700
Local,Suburban,50,None,2,mountain,1600
Freeway,Rural,50,None,2,mountain,2682
MLHighway,Rural,50,None,2,mountain,2667
TLHighway,Rural,50,None,2,mountain,1182
PrArterial,Rural,50,None,2,mountain,2160
MinArterial,Rural,50,None,2,mountain,1800
Collector,Rural,50,None,2,mountain,1700
Local,Rural,50,None,2,mountain,1600
Freeway,Urban,55,None,2,mountain,3060
MLHighway,Urban,55,None,2,mountain,3064
TLHighway,Urban,55,None,2,mountain,1182
PrArterial,Urban,55,None,2,mountain,2520
MinArterial,Urban,55,None,2,mountain,2160
Collector,Urban,55,None,2,mountain,1500
Local,Urban,55,None,2,mountain,1400
Freeway,Suburban,55,None,2,mountain,2859
MLHighway,Suburban,55,None,2,mountain,2953
TLHighway,Suburban,55,None,2,mountain,1182
PrArterial,Suburban,55,None,2,mountain,2160
MinArterial,Suburban,55,None,2,mountain,1800
Collector,Suburban,55,None,2,mountain,1700
Local,Suburban,55,None,2,mountain,1600
Freeway,Rural,55,None,2,mountain,2682
MLHighway,Rural,55,None,2,mountain,2800
TLHighway,Rural,55,None,2,mountain,1182
PrArterial,Rural,55,None,2,mountain,2160
MinArterial,Rural,55,None,2,mountain,1800
Collector,Rural,55,None,2,mountain,1700
Local,Rural,55,None,2,mountain,1600
Freeway,Urban,60,None,2,mountain,3060
MLHighway,Urban,60,None,2,mountain,3217
TLHighway,Urban,60,None,2,mountain,1182
PrArterial,Urban,60,None,2,mountain,2520
MinArterial,Urban,60,None,2,mountain,2160
Collector,Urban,60,None,2,mountain,1500
Local,Urban,60,None,2,mountain,1400
Freeway,Suburban,60,None,2,mountain,2859
MLHighway,Suburban,60,None,2,mountain,3094
TLHighway,Suburban,60,None,2,mountain,1182
PrArterial,Suburban,60,None,2,mountain,2160
MinArterial,Suburban,60,None,2,mountain,1800
Collector,Suburban,60,None,2,mountain,1700
Local,Suburban,60,None,2,mountain,1600
Freeway,Rural,60,None,2,mountain,2682
MLHighway,Rural,60,None,2,mountain,2933
TLHighway,Rural,60,None,2,mountain,1182
PrArterial,Rural,60,None,2,mountain,2160
MinArterial,Rural,60,None,2,mountain,1800
Collector,Rural,60,None,2,mountain,1700
Local,Rural,60,None,2,mountain,1600
Freeway,Urban,65,None,2,mountain,3060
MLHighway,Urban,65,None,2,mountain,3217
TLHighway,Urban,65,None,2,mountain,1182
PrArterial,Urban,65,None,2,mountain,2520
MinArterial,Urban,65,None,2,mountain,2160
Collector,Urban,65,None,2,mountain,1500
Local,Urban,65,None,2,mountain,1400
Freeway,Suburban,65,None,2,mountain,2859
MLHighway,Suburban,65,None,2,mountain,3094
TLHighway,Suburban,65,None,2,mountain,1182
PrArterial,Suburban,65,None,2,mountain,2160
MinArterial,Suburban,65,None,2,mountain,1800
Collector,Suburban,65,None,2,mountain,1700
Local,Suburban,65,None,2,mountain,1600
Freeway,Rural,65,None,2,mountain,2682
MLHighway,Rural,65,None,2,mountain,2933
TLHighway,Rural,65,None,2,mountain,1182
PrArterial,Rural,65,None,2,mountain,2160
MinArterial,Rural,65,None,2,mountain,1800
Collector,Rural,65,None,2,mountain,1700
Local,Rural,65,None,2,mountain,1600
Freeway,Urban,25,Restrictive,3,mountain,4591
MLHighway,Urban,25,Restrictive,3,mountain,4366
TLHighway,Urban,25,Restrictive,3,mountain,1182
PrArterial,Urban,25,Restrictive,3,mountain,3780
MinArterial,Urban,25,Restrictive,3,mountain,3240
Collector,Urban,25,Restrictive,3,mountain,2250
Local,Urban,25,Restrictive,3,mountain,2100
Freeway,Suburban,25,Restrictive,3,mountain,4288
MLHighway,Suburban,25,Restrictive,3,mountain,4008
TLHighway,Suburban,25,Restrictive,3,mountain,1182
PrArterial,Suburban,25,Restrictive,3,mountain,3240
MinArterial,Suburban,25,Restrictive,3,mountain,2700
Collector,Suburban,25,Restrictive,3,mountain,2550
Local,Suburban,25,Restrictive,3,mountain,2400
Freeway,Rural,25,Restrictive,3,mountain,4024
MLHighway,Rural,25,Restrictive,3,mountain,4e3
TLHighway,Rural,25,Restrictive,3,mountain,1182
PrArterial,Rural,25,Restrictive,3,mountain,3240
MinArterial,Rural,25,Restrictive,3,mountain,2700
Collector,Rural,25,Restrictive,3,mountain,2550
Local,Rural,25,Restrictive,3,mountain,2400
Freeway,Urban,30,Restrictive,3,mountain,4591
MLHighway,Urban,30,Restrictive,3,mountain,4366
TLHighway,Urban,30,Restrictive,3,mountain,1182
PrArterial,Urban,30,Restrictive,3,mountain,3780
MinArterial,Urban,30,Restrictive,3,mountain,3240
Collector,Urban,30,Restrictive,3,mountain,2250
Local,Urban,30,Restrictive,3,mountain,2100
Freeway,Suburban,30,Restrictive,3,mountain,4288
MLHighway,Suburban,30,Restrictive,3,mountain,4008
TLHighway,Suburban,30,Restrictive,3,mountain,1182
PrArterial,Suburban,30,Restrictive,3,mountain,3240
MinArterial,Suburban,30,Restrictive,3,mountain,2700
Collector,Suburban,30,Restrictive,3,mountain,2550
Local,Suburban,30,Restrictive,3,mountain,2400
Freeway,Rural,30,Restrictive,3,mountain,4024
MLHighway,Rural,30,Restrictive,3,mountain,4e3
TLHighway,Rural,30,Restrictive,3,mountain,1182
PrArterial,Rural,30,Restrictive,3,mountain,3240
MinArterial,Rural,30,Restrictive,3,mountain,2700
Collector,Rural,30,Restrictive,3,mountain,2550
Local,Rural,30,Restrictive,3,mountain,2400
Freeway,Urban,35,Restrictive,3,mountain,4591
MLHighway,Urban,35,Restrictive,3,mountain,4366
TLHighway,Urban,35,Restrictive,3,mountain,1182
PrArterial,Urban,35,Restrictive,3,mountain,3780
MinArterial,Urban,35,Restrictive,3,mountain,3240
Collector,Urban,35,Restrictive,3,mountain,2250
Local,Urban,35,Restrictive,3,mountain,2100
Freeway,Suburban,35,Restrictive,3,mountain,4288
MLHighway,Suburban,35,Restrictive,3,mountain,4008
TLHighway,Suburban,35,Restrictive,3,mountain,1182
PrArterial,Suburban,35,Restrictive,3,mountain,3240
MinArterial,Suburban,35,Restrictive,3,mountain,2700
Collector,Suburban,35,Restrictive,3,mountain,2550
Local,Suburban,35,Restrictive,3,mountain,2400
Freeway,Rural,35,Restrictive,3,mountain,4024
MLHighway,Rural,35,Restrictive,3,mountain,4e3
TLHighway,Rural,35,Restrictive,3,mountain,1182
PrArterial,Rural,35,Restrictive,3,mountain,3240
MinArterial,Rural,35,Restrictive,3,mountain,2700
Collector,Rural,35,Restrictive,3,mountain,2550
Local,Rural,35,Restrictive,3,mountain,2400
Freeway,Urban,40,Restrictive,3,mountain,4591
MLHighway,Urban,40,Restrictive,3,mountain,4366
TLHighway,Urban,40,Restrictive,3,mountain,1182
PrArterial,Urban,40,Restrictive,3,mountain,3780
MinArterial,Urban,40,Restrictive,3,mountain,3240
Collector,Urban,40,Restrictive,3,mountain,2250
Local,Urban,40,Restrictive,3,mountain,2100
Freeway,Suburban,40,Restrictive,3,mountain,4288
MLHighway,Suburban,40,Restrictive,3,mountain,4008
TLHighway,Suburban,40,Restrictive,3,mountain,1182
PrArterial,Suburban,40,Restrictive,3,mountain,3240
MinArterial,Suburban,40,Restrictive,3,mountain,2700
Collector,Suburban,40,Restrictive,3,mountain,2550
Local,Suburban,40,Restrictive,3,mountain,2400
Freeway,Rural,40,Restrictive,3,mountain,4024
MLHighway,Rural,40,Restrictive,3,mountain,4e3
TLHighway,Rural,40,Restrictive,3,mountain,1182
PrArterial,Rural,40,Restrictive,3,mountain,3240
MinArterial,Rural,40,Restrictive,3,mountain,2700
Collector,Rural,40,Restrictive,3,mountain,2550
Local,Rural,40,Restrictive,3,mountain,2400
Freeway,Urban,45,Restrictive,3,mountain,4591
MLHighway,Urban,45,Restrictive,3,mountain,4366
TLHighway,Urban,45,Restrictive,3,mountain,1182
PrArterial,Urban,45,Restrictive,3,mountain,3780
MinArterial,Urban,45,Restrictive,3,mountain,3240
Collector,Urban,45,Restrictive,3,mountain,2250
Local,Urban,45,Restrictive,3,mountain,2100
Freeway,Suburban,45,Restrictive,3,mountain,4288
MLHighway,Suburban,45,Restrictive,3,mountain,4008
TLHighway,Suburban,45,Restrictive,3,mountain,1182
PrArterial,Suburban,45,Restrictive,3,mountain,3240
MinArterial,Suburban,45,Restrictive,3,mountain,2700
Collector,Suburban,45,Restrictive,3,mountain,2550
Local,Suburban,45,Restrictive,3,mountain,2400
Freeway,Rural,45,Restrictive,3,mountain,4024
MLHighway,Rural,45,Restrictive,3,mountain,4e3
TLHighway,Rural,45,Restrictive,3,mountain,1182
PrArterial,Rural,45,Restrictive,3,mountain,3240
MinArterial,Rural,45,Restrictive,3,mountain,2700
Collector,Rural,45,Restrictive,3,mountain,2550
Local,Rural,45,Restrictive,3,mountain,2400
Freeway,Urban,50,Restrictive,3,mountain,4591
MLHighway,Urban,50,Restrictive,3,mountain,4366
TLHighway,Urban,50,Restrictive,3,mountain,1182
PrArterial,Urban,50,Restrictive,3,mountain,3780
MinArterial,Urban,50,Restrictive,3,mountain,3240
Collector,Urban,50,Restrictive,3,mountain,2250
Local,Urban,50,Restrictive,3,mountain,2100
Freeway,Suburban,50,Restrictive,3,mountain,4288
MLHighway,Suburban,50,Restrictive,3,mountain,4219
TLHighway,Suburban,50,Restrictive,3,mountain,1182
PrArterial,Suburban,50,Restrictive,3,mountain,3240
MinArterial,Suburban,50,Restrictive,3,mountain,2700
Collector,Suburban,50,Restrictive,3,mountain,2550
Local,Suburban,50,Restrictive,3,mountain,2400
Freeway,Rural,50,Restrictive,3,mountain,4024
MLHighway,Rural,50,Restrictive,3,mountain,4200
TLHighway,Rural,50,Restrictive,3,mountain,1182
PrArterial,Rural,50,Restrictive,3,mountain,3240
MinArterial,Rural,50,Restrictive,3,mountain,2700
Collector,Rural,50,Restrictive,3,mountain,2550
Local,Rural,50,Restrictive,3,mountain,2400
Freeway,Urban,55,Restrictive,3,mountain,4591
MLHighway,Urban,55,Restrictive,3,mountain,4596
TLHighway,Urban,55,Restrictive,3,mountain,1182
PrArterial,Urban,55,Restrictive,3,mountain,3780
MinArterial,Urban,55,Restrictive,3,mountain,3240
Collector,Urban,55,Restrictive,3,mountain,2250
Local,Urban,55,Restrictive,3,mountain,2100
Freeway,Suburban,55,Restrictive,3,mountain,4288
MLHighway,Suburban,55,Restrictive,3,mountain,4430
TLHighway,Suburban,55,Restrictive,3,mountain,1182
PrArterial,Suburban,55,Restrictive,3,mountain,3240
MinArterial,Suburban,55,Restrictive,3,mountain,2700
Collector,Suburban,55,Restrictive,3,mountain,2550
Local,Suburban,55,Restrictive,3,mountain,2400
Freeway,Rural,55,Restrictive,3,mountain,4024
MLHighway,Rural,55,Restrictive,3,mountain,4400
TLHighway,Rural,55,Restrictive,3,mountain,1182
PrArterial,Rural,55,Restrictive,3,mountain,3240
MinArterial,Rural,55,Restrictive,3,mountain,2700
Collector,Rural,55,Restrictive,3,mountain,2550
Local,Rural,55,Restrictive,3,mountain,2400
Freeway,Urban,60,Restrictive,3,mountain,4591
MLHighway,Urban,60,Restrictive,3,mountain,4826
TLHighway,Urban,60,Restrictive,3,mountain,1182
PrArterial,Urban,60,Restrictive,3,mountain,3780
MinArterial,Urban,60,Restrictive,3,mountain,3240
Collector,Urban,60,Restrictive,3,mountain,2250
Local,Urban,60,Restrictive,3,mountain,2100
Freeway,Suburban,60,Restrictive,3,mountain,4288
MLHighway,Suburban,60,Restrictive,3,mountain,4641
TLHighway,Suburban,60,Restrictive,3,mountain,1182
PrArterial,Suburban,60,Restrictive,3,mountain,3240
MinArterial,Suburban,60,Restrictive,3,mountain,2700
Collector,Suburban,60,Restrictive,3,mountain,2550
Local,Suburban,60,Restrictive,3,mountain,2400
Freeway,Rural,60,Restrictive,3,mountain,4024
MLHighway,Rural,60,Restrictive,3,mountain,4400
TLHighway,Rural,60,Restrictive,3,mountain,1182
PrArterial,Rural,60,Restrictive,3,mountain,3240
MinArterial,Rural,60,Restrictive,3,mountain,2700
Collector,Rural,60,Restrictive,3,mountain,2550
Local,Rural,60,Restrictive,3,mountain,2400
Freeway,Urban,65,Restrictive,3,mountain,4591
MLHighway,Urban,65,Restrictive,3,mountain,4826
TLHighway,Urban,65,Restrictive,3,mountain,1182
PrArterial,Urban,65,Restrictive,3,mountain,3780
MinArterial,Urban,65,Restrictive,3,mountain,3240
Collector,Urban,65,Restrictive,3,mountain,2250
Local,Urban,65,Restrictive,3,mountain,2100
Freeway,Suburban,65,Restrictive,3,mountain,4288
MLHighway,Suburban,65,Restrictive,3,mountain,4641
TLHighway,Suburban,65,Restrictive,3,mountain,1182
PrArterial,Suburban,65,Restrictive,3,mountain,3240
MinArterial,Suburban,65,Restrictive,3,mountain,2700
Collector,Suburban,65,Restrictive,3,mountain,2550
Local,Suburban,65,Restrictive,3,mountain,2400
Freeway,Rural,65,Restrictive,3,mountain,4024
